Anonymous employee,4.0,"Nov 13, 2017",Current employee,Good place to work if you are interested in understanding every bit of networking industry. It has product portfolios in every segment of the network so switching from one area to other to get a good understanding of how everything comes together is best experienced here.,Change is hard to bring. It is just like sailing a huge ship with lots of constraints.
Senior software test engineer,3.0,"Mar 12, 2018","Current employee, more than 10 years","Good Facilities - Excellent transport, Beautiful Campus, Labs, Career opportunities on upcoming technologies","Below or Average pay hikes. No guarantee of every year hike 
High pressure to do a lot in less time due to tight timelines, Frequent Layoffs"
Anonymous employee,2.0,"Jul 26, 2018","Former employee, less than 1 year","-you can get onboard VERY quickly and all your devices and trainings can be ready in 1 week.
-you can give feedback easily to your manager 
-The pay is good","1-Extremely stressful env EVERYthing revolves around quota and sales even if you are not in sales teams.  but if you are not getting your Quota while you are not sales function it will impact your performance and your bonus. 

2-In my interview i was asked if i ever worked with quota and I said no but when i started my job I found out that they added quota on me and its noncommissionble and must bring it each quarter. i disagreed and then I said if I work on quota then I need my commission.. Managers did not agree and I had a conflict with them.

3- The company has VERY high turnover from employees and contractors. its not easy to deal with too many changes per day and week and month.

4- They keep acquiring companies and its tough to focus on your role since every other quarter there is a new re-org and new policies. 

5-The work pace is TOOOO FAST and the company has TOOOO MANY  customer accounts and they expect you to over perform and do your 150%. All the team members and your other colleagues are  not easy to meet and talk with them. Every thing is Webex and ALl the workers are overloaded with work.

6- Its nice to have many Tools to help you do your work like webex  etc BUT  its overused with all the teams. for example if you ask any question about anything they team member will answer you with list of ALL the webex recordings and links by the time you want to watch them and understand the answer that is like a week worth of things and the team member thinks he did the write think for you but really he gave you Major new work. 

7- Too many trainings, by the team you do your internal meeting (physical or webes), then you calls, then your huge list of links and webex recordings its really tough to achieve during your day since all these things take your time and you may have time later on the day to do some of your work.

8- There are SO many feedbacks on you during the week and after each sessions etc etc you need to be always connected with the team and it feels that you ONLY live for Cisco there is nothing else to do in this life. 

9-I have never seen a company that asks their sales team commitment calls to be WEEKLY. So the sales team are  in MAJOR stress and they stress the other teams with them. 

10- Unless you like that type of  env and CONTINUES work , then I don't recommend that company for people with Family and kids and social life.  I noticed most  people working very long hours from 8am until OPEN. 

11- Cisco has many products (old, new, acquired, etc) and once you join,   they will buy new company and then new products. Most of these products work in theory but in real life and at customer site its REALLY complicated and tough and they may work but with a lot of difficulties and many Cisco internal teams involvements. its Tough technical env.  with all these complications. 

12-  Cisco  were a hardware company and trying to switch to software company and that is difficult and too many challenges especially they don't have the software company mindset."
Software engineer iv,4.0,"Oct 10, 2018","Current employee, less than 1 year","Its a new team. Since the product is pretty new, lots of opportunities to work on new stuff, Lots of opportunities to correct the things to be done in a better way.  Varied tech stack so opportunities to work on different tech stack within the team itself.","Since new team setup here, lots of things coming from the US to India in terms of infra and work, Not a  con as such but things are kind of settling up in terms of that which is good in a way"
Senior enterprise architect,4.0,"Feb 6, 2019","Former employee, more than 3 years",Technology is good. Ability to work remote. Work in foreign countries. Met some of my best friends there.,Lots of idiots in management. Lack of strategic direction in many cases. Very cheap for employee benefits. Uneven diversity - too many clique racial groups.
Product manager,1.0,"May 9, 2019","Current employee, more than 1 year",- Work life balance is respected in general,"- Looking around my product management team, indian, male is the absolute leading demographic, so is the engineering team and this is the norm everywhere in enterprise networking. 
- Salary is stagnant if you do not get a promotion 
- Layoffs every year for the past few years 
- Very little equity until you get to senior level"
Sales account manager,2.0,"Jun 11, 2019",Current employee,"Good culture
Flexible working
People are generally supportive and technical team are excellent","Smokes and mirrors commission structure. Finance makes it up as they go along who gets paid what and sticks unachievable targets on high achievers which ultimately demotivates them so the good Sales people leave. Base pay is very low compared to market rate. 

Lack of defined strategy from Senior Management is leading to confusion in the market"
Manager,2.0,"Jul 31, 2019",Former employee,"Great pay and benefits for employees and I was happy to do the work while I was there. Always felt like I agreed with most upper management and the business direction.

Flexible work schedule and very accommodating to people with families.","Although working from home was a nice benefit, none of the great benefits you'd like to find at a Silicon Valley company like free food and other services. Definitely old school in how they run their business - which isn't a great thing for a tech co.

Layoffs are pretty consistent, with a big one in the summer/fall and usually after each quarter, although at varying sizes. They always try to make it sound like it's for business reasons, but it's still surprising as Cisco seem to meeting their goals for the last few years. They typically do it so they can get rid of higher grade folks, hire lower grade folks or contractors and bank the savings. Even with nice severance packages, they net out in the positive.

Middle management is horrific. After good management left, my team was left in shambles and leadership slowly drove team away one by one and then blamed everyone else. Lots of politics. Many managers will devise ways to get rid of those who don't agree with their opinions by withholding bonuses, prevent any movement to other teams, uncomfortable 1-1 conversations, etc.

Also the division between FTEs and contractors is very apparent and the pay disparity is embarrassing as are the benefits (read none).  This is problematic across the company as I'd guess 50% of their workforce is contractors (although they never release those numbers)."
Account executive,4.0,"Oct 12, 2019","Former employee, more than 5 years","Industry leading products, amazing reputation. Customers know that they are buying the best products available. 
The work environment is also good, access to modern technology, beautiful offices, truely global presence.","A desire to become a services business, drive annuity revenue and deliver business outcomes rather than just product transactions. However as an organisation they are still obsessed with product revenue. Remuneration needs to align with business objectives. 
High pressure sales environment. Pushing short term transaction over longer term strategic customer outcomes"
Anonymous employee,3.0,"Apr 6, 2020","Current employee, more than 10 years",For the most part the people are great. Very helpful.,"Short term thinking, not super innovative."
Information technology,2.0,"Jan 26, 2021","Current employee, more than 3 years","There has been a lot of support and effort from executive leadership team recently - it shows, and I appreciate it. The effort has been active, on-going, and sincere with goals to improve employee and non-employee worker experience - unfortunately, as with the economic theory a lot of this doesn't trickle down to the management layer most immediately impacting employees. Cisco is an excellent and truly thoughtful corporate citizen - for the first time in my life I feel true pride about the company I am representing from a moral perspective. This is the reason I accepted the offer extended when I initially joined.","Politics with a capital P plus some; Innovation is a prized quality at Cisco however individuals trying to work through and contribute to transformation are passively punished for not doing things ""the Cisco way""; Lack of alignment between enterprise strategy and team executions - most managers keep doing what they want to do regardless of what the stated organization and corporate strategy; Frequent and disruptive leadership shakeups in IT; non-engineering roles - despite lip service are not valued; There is very little respect for work-life balance unless you put your own boundaries up - which is problematic especially as we strive to do better with mental health for ourselves and our co-workers. There is an assumption that people have the capability and will to establish these boundaries. A lot of managers and directors here take as much as is offered without consideration to how much they should take and then perversely shame you for overworking yourself."
Anonymous employee,5.0,"Mar 6, 2021","Current employee, more than 1 year","- Great Company Culture 
- Supportive work environment 
- Gives you a lot of responsibility and chances to make impact
- Start Up culture","- With start up culture it means that we are constantly changing (lots of org shifts, lay offs, ect.) 
- Teams do not always operate in the MOST effective manner and using duplicate tools/processes
- Middle management + hiring managers still have a long way to go in terms of cross- culture competence and D&I value (But there are A LOT of progressive people and leaders here who get it)"
Software engineer iii,5.0,"Mar 7, 2021","Current employee, more than 1 year","- There is no dearth of work here and work is actually complex and challenging
- Learnt lot here in the little time I have been here.
- Benefits are awesome - health, gifts, internet, allowances, perks and so on
- Work-Life balance has been good till now.
- Awesome and intelligent people around. Excellent leadership","- It is pretty taxing to get help from seniors as they are mostly busy with their own work. Can't blame them, but thats what makes the work challenging. You take your time, but you will figure things out yourself."
Senior marketing manager,3.0,"Mar 13, 2021","Former employee, more than 1 year",Vast resources for training and getting your job done; pretty smart technical talent,"Round-after-round of layoffs and it seems a bit arbitrary to reduce head count not get rid of dead weight. Pretty bureaucratic with directors and senior people trying to 'win' by having as many people report to them as possible, but being effective or innovative isn't exactly how to win here..."
Software solutions architecture,5.0,"May 25, 2021","Former employee, more than 5 years","Lots of freedom, lots of creative work",You may have ideas you'd like implemented in the products you represent but find it very difficult to get those ideas into development. They want you to sell what is on the truck. Benefit is you can always be creative with how you deliver them to customers.
Software engineer in test,1.0,"Aug 8, 2022","Current employee, more than 1 year","Good base pay, remote work opportunities. Limited travel required.","Poor communication from leadership to rank and file employees. Middle management doesn’t always have the backs of their employees.

Yearly reviews are not taken seriously. Goals and expectations are not clearly set. 

There is a great level of autonomy and a lack of coding standards which leads to code based that have duplicated and redundant code, dead code that should have been removed during a decommission, etc. 

Due to the focus on growth many pipelines are still manual and automating them is not a roadmap priority."
"Manager, software development",4.0,"Feb 5, 2010",Former employee,"Good job, predictable, well-defined routine. Decent compensation and everything that comes with a large stable company.","Hard to survive without cisco ecosystem, very narrow view of technology, lots of powerpoint -- very little real work. Not a good place to build something internally."
Systems engineer,4.0,"Jun 7, 2010",Current employee,"Stable job
excellent job security
great benefits
2 year ESPP
401k matching
standard insurances, dental, vision, etc
Good atmosphere, great innovation and strong future","With such a big headcount, career advancement and promotions don't come around too often. For someone starting off at the bottom, there is way too much competition to move up and earn promotions."
It analyst,3.0,"Jul 18, 2011",Current employee,Flexible hours...get to work from home at times...definitely a learning experience,Too many managers...as a partner pay is low. thre are more partners than employees it seems. Opportunities to go to direct hire are almost impossible within IT support.
Senior software engineer,3.0,"Oct 2, 2011",Former employee,"Lot of resources and trainings available to learn.Sort of OK work to personal life balance.For persons intereted to grow in networking side ,it is a great oppertunity to work in Cisco.Detailed design documents will be avaialbe in EDCS for many products","To get promotions long time of wait is needed.Interacting with another group is most of the time difficult,as each group behaves as a company.Base salary is less and lot depends on the performance and given as a bonus or performace incentive"
Software engineer,4.0,"Oct 2, 2011",Former employee,"1. Good Benefit
2. Fortunate enough to work on hottest technologies at the time I work there
3. Nice co-workers and managers","1. Could get stagnant in one's job
2. Frustrated about VPs making mistakes and I could not do anything to change it"
Senior product manager,3.0,"Jan 30, 2012",Current employee,Highly complex and technically challenging product mix. World class products being designed and shipped to customers. Company has respect for its employees and has a competitive salary and benefits package.,"Very large company with low attrition which results in very few career progression opportunities. Losing ""coolness"" factor perhaps to Google/Facebook/Apple and the like in competition for new talent."
Senior manager,4.0,"Apr 15, 2012",Current employee,Cisco  has a great company culture and is run by very capable executives who truly care about the well-being of their employees,"Because of the slow growth due to company size and current economy, there is very limited opportunity for upward mobility which forces employees to look elsewhere. Cisco also needs to address obvious inequities in terms of grade levels and span of control. Human resources seems reluctant and slow in addressing these problems"
